------Single-Product Inventory System------

Initial inventory level: 10 items

Number of demand sizes: 5

Distribution function of demand sizes: 0.10 0.43 0.50 0.70 1.00 

Mean inter-demand time: 0.20 months

Delivery lag range: 1.00 to 5.50 months

Length of simulation: 200 months

Costs:
K = 10.00
i = 2.00
h = 2.00
pi = 10.00

Number of policies: 35

Policies:
--------------------------------------------------------------------------------------------------
 Policy         Avg_total_cost      Avg_ordering_cost   Avg_holding_cost    Avg_shortage_cost  
--------------------------------------------------------------------------------------------------

(10, 40)            20230.60             3432.79                0.03            16797.78

(10, 50)            19259.96             3287.42                0.05            15972.49

(10, 80)            19982.13             3457.25                0.04            16524.84

(10, 90)            18736.60             3267.37                0.11            15469.12

(10,110)            20497.76             3593.01                0.02            16904.73

(20, 50)            18369.34             3140.19                0.07            15229.08

(20, 60)            20623.46             3531.53                0.03            17091.91

(20, 70)            19319.81             3331.15                0.07            15988.59

(20, 80)            18946.34             3285.49                0.08            15660.76

(20,100)            20527.56             3581.91                0.01            16945.64

(30, 40)            18651.44             3170.95                0.05            15480.44

(30, 50)            18271.70             3124.02                0.06            15147.62

(30, 60)            20366.97             3488.40                0.12            16878.46

(30, 70)            19590.37             3376.84                0.06            16213.47

(30, 90)            18198.57             3178.84                0.03            15019.71

(30,100)            18730.89             3284.07                0.03            15446.79

(30,120)            19737.84             3484.16                0.10            16253.58

(40, 50)            19022.88             3248.47                0.02            15774.39

(40, 60)            18049.63             3103.85                0.06            14945.72

(40, 70)            19206.46             3312.78                0.04            15893.63

(40, 80)            18861.01             3271.35                0.02            15589.64

(40, 90)            19314.66             3364.35                0.04            15950.27

(40,120)            19893.18             3510.29                0.05            16382.84

(40,140)            19798.69             3528.09                0.05            16270.55

(50, 70)            18533.11             3200.47                0.05            15332.60

(50, 90)            18877.54             3291.14                0.05            15586.35

(60, 80)            19476.99             3373.77                0.03            16103.19

(60, 90)            19981.87             3475.20                0.04            16506.63

(60,100)            20181.24             3524.17                0.04            16657.03

(70, 80)            19236.57             3334.75                0.01            15901.81

(70, 90)            19964.57             3471.50                0.05            16493.01

(70,100)            19516.48             3413.68                0.05            16102.75

(80, 90)            21379.30             3705.96                0.06            17673.28

(80,100)            18401.24             3229.50                0.04            15171.70

(80,120)            17854.48             3171.07                0.08            14683.33

--------------------------------------------------------------------------------------------------
